Country,Year,Fertility_rate
Germany,1900,4.93
Germany,1901,4.88
Germany,1902,4.82
Germany,1903,4.77
Germany,1904,4.68
Germany,1905,4.6
Germany,1906,4.51
Germany,1907,4.43
Germany,1908,4.34
Germany,1909,4.18
Germany,1910,4.01
Germany,1911,3.85
Germany,1912,3.68
Germany,1913,3.52
Germany,1914,3.27
Germany,1915,3.02
Germany,1916,2.76
Germany,1917,2.51
Germany,1918,2.26
Germany,1919,2.33
Germany,1920,2.4
Germany,1921,2.48
Germany,1922,2.55
Germany,1923,2.62
Germany,1924,2.42
Germany,1925,2.21
Germany,1926,2.1
Germany,1927,1.98
Germany,1928,1.99
Germany,1929,1.93
Germany,1930,1.88
Germany,1931,1.71
Germany,1932,1.62
Germany,1933,1.58
Germany,1934,1.93
Germany,1935,2.03
Germany,1936,2.07
Germany,1937,2.09
Germany,1938,2.25
Germany,1939,2.39
Germany,1940,2.4
Germany,1941,2.25
Germany,1942,1.83
Germany,1943,2
Germany,1944,1.89
Germany,1945,1.53
Germany,1946,2.01
Germany,1947,2.04
Germany,1948,2.1
Germany,1949,2.16
Germany,1950,2.08
Germany,1951,2.09
Germany,1952,2.11
Germany,1953,2.14
Germany,1954,2.17
Germany,1955,2.2
Germany,1956,2.23
Germany,1957,2.27
Germany,1958,2.31
Germany,1959,2.35
Germany,1960,2.4
Germany,1961,2.43
Germany,1962,2.47
Germany,1963,2.49
Germany,1964,2.5
Germany,1965,2.48
Germany,1966,2.44
Germany,1967,2.37
Germany,1968,2.28
Germany,1969,2.17
Germany,1970,2.04
Germany,1971,1.92
Germany,1972,1.8
Germany,1973,1.7
Germany,1974,1.62
Germany,1975,1.56
Germany,1976,1.53
Germany,1977,1.5
Germany,1978,1.49
Germany,1979,1.48
Germany,1980,1.47
Germany,1981,1.47
Germany,1982,1.46
Germany,1983,1.46
Germany,1984,1.46
Germany,1985,1.45
Germany,1986,1.44
Germany,1987,1.43
Germany,1988,1.41
Germany,1989,1.38
Germany,1990,1.36
Germany,1991,1.34
Germany,1992,1.32
Germany,1993,1.31
Germany,1994,1.31
Germany,1995,1.31
Germany,1996,1.32
Germany,1997,1.33
Germany,1998,1.34
Germany,1999,1.35
Germany,2000,1.35
Germany,2001,1.35
Germany,2002,1.35
Germany,2003,1.35
Germany,2004,1.35
Germany,2005,1.35
Germany,2006,1.36
Germany,2007,1.36
Germany,2008,1.37
Germany,2009,1.38
Germany,2010,1.39
Germany,2011,1.41
Germany,2012,1.42
Germany,2013,1.43
Germany,2014,1.44
Germany,2015,1.45
Germany,2016,1.46
Germany,2017,1.47
Niger,1900,6.83
Niger,1901,6.83
Niger,1902,6.83
Niger,1903,6.83
Niger,1904,6.83
Niger,1905,6.83
Niger,1906,6.83
Niger,1907,6.83
Niger,1908,6.83
Niger,1909,6.83
Niger,1910,6.83
Niger,1911,6.83
Niger,1912,6.83
Niger,1913,6.83
Niger,1914,6.83
Niger,1915,6.83
Niger,1916,6.83
Niger,1917,6.83
Niger,1918,6.83
Niger,1919,6.83
Niger,1920,6.83
Niger,1921,6.83
Niger,1922,6.83
Niger,1923,6.83
Niger,1924,6.83
Niger,1925,6.83
Niger,1926,6.83
Niger,1927,6.83
Niger,1928,6.83
Niger,1929,6.83
Niger,1930,6.84
Niger,1931,6.84
Niger,1932,6.84
Niger,1933,6.84
Niger,1934,6.85
Niger,1935,6.85
Niger,1936,6.86
Niger,1937,6.87
Niger,1938,6.87
Niger,1939,6.88
Niger,1940,6.89
Niger,1941,6.9
Niger,1942,6.91
Niger,1943,6.93
Niger,1944,6.94
Niger,1945,6.95
Niger,1946,6.97
Niger,1947,6.99
Niger,1948,7
Niger,1949,7.02
Niger,1950,7.04
Niger,1951,7.06
Niger,1952,7.1
Niger,1953,7.14
Niger,1954,7.18
Niger,1955,7.22
Niger,1956,7.26
Niger,1957,7.31
Niger,1958,7.36
Niger,1959,7.41
Niger,1960,7.45
Niger,1961,7.47
Niger,1962,7.49
Niger,1963,7.51
Niger,1964,7.52
Niger,1965,7.53
Niger,1966,7.54
Niger,1967,7.54
Niger,1968,7.55
Niger,1969,7.56
Niger,1970,7.57
Niger,1971,7.58
Niger,1972,7.6
Niger,1973,7.62
Niger,1974,7.64
Niger,1975,7.67
Niger,1976,7.7
Niger,1977,7.74
Niger,1978,7.78
Niger,1979,7.81
Niger,1980,7.84
Niger,1981,7.87
Niger,1982,7.88
Niger,1983,7.89
Niger,1984,7.88
Niger,1985,7.87
Niger,1986,7.85
Niger,1987,7.82
Niger,1988,7.8
Niger,1989,7.79
Niger,1990,7.77
Niger,1991,7.76
Niger,1992,7.75
Niger,1993,7.74
Niger,1994,7.73
Niger,1995,7.73
Niger,1996,7.72
Niger,1997,7.71
Niger,1998,7.7
Niger,1999,7.69
Niger,2000,7.68
Niger,2001,7.67
Niger,2002,7.66
Niger,2003,7.64
Niger,2004,7.63
Niger,2005,7.61
Niger,2006,7.59
Niger,2007,7.57
Niger,2008,7.54
Niger,2009,7.52
Niger,2010,7.49
Niger,2011,7.46
Niger,2012,7.42
Niger,2013,7.38
Niger,2014,7.34
Niger,2015,7.29
Niger,2016,7.24
Niger,2017,7.18
